ticker,company,country
NESN.SW,Nestlé,Switzerland
ROG.SW,Roche Holding,Switzerland
NOVN.SW,Novartis,Switzerland
CFR.SW,Richemont,Switzerland
ZURN.SW,Zurich Insurance Group,Switzerland
UBSG.SW,UBS Group,Switzerland
ABBN.SW,ABB,Switzerland
LONN.SW,Lonza Group,Switzerland
SIKA.SW,Sika,Switzerland
ALC.SW,Alcon,Switzerland
GIVN.SW,Givaudan,Switzerland
HOLN.SW,Holcim,Switzerland
SCMN.SW,Swisscom,Switzerland
PGHN.SW,Partners Group,Switzerland
SREN.SW,Swiss Re,Switzerland
SOON.SW,Sonova,Switzerland
GEBN.SW,Geberit,Switzerland
SLHN.SW,Swiss Life,Switzerland
LOGN.SW,Logitech,Switzerland
KNIN.SW,Kuehne + Nagel,Switzerland
